Name,Sector,City,State,Founded_Year,Funding_Stage,Investment_Type,Amount_Raised,Investors_Count,Valuation_Post_Funding,Revenue,Profitability,Number_of_Employees,Tech_Stack,Customer_Base_Size,Growth_Rate,Exit_Status,Social_Media_Followers,Patents,ESG_Score,Diversity_Index,Net_Impact_Score,Funding_Year
Startup_0,Retail,Pune,Maharashtra,2022,Series D,Grant,6523237,9,24886076,1263794,No,326,IoT,92170,9.66,No,27648,11,5.32,39.33,4.71,2023
Startup_1,EdTech,Pune,Karnataka,2019,IPO,Convertible Note,5757470,7,83153668,4324863,Yes,421,AR/VR,82497,13.93,Yes,89143,17,2.5,43.19,5.03,2017
Startup_2,AgriTech,Chennai,Tamil Nadu,2010,Series A,Grant,9611115,6,86184749,2185306,No,388,Blockchain,97421,16.17,Yes,62445,4,5.13,36.11,5.71,2022
Startup_3,HealthTech,Mumbai,Telangana,2007,IPO,Debt,8103826,6,27973070,4709714,No,166,Blockchain,41892,9.79,Yes,30184,13,9.14,31.38,9.29,2021
Startup_4,HealthTech,Bangalore,Maharashtra,2019,Seed,Grant,223670,1,54855828,1655812,Yes,455,IoT,58855,45.94,No,56494,0,8.1,78.2,1.12,2015
Startup_5,TravelTech,Chennai,Tamil Nadu,2022,Series A,Grant,7020554,8,60749788,2630764,Yes,417,AR/VR,13564,23.98,Yes,47982,19,5.87,75.13,8.35,2023
Startup_6,FoodTech,Bangalore,Delhi,2018,Seed,Debt,1117911,5,90432670,425008,No,371,Big Data,11719,24.83,Yes,5660,2,6.06,61.46,2.06,2017
Startup_7,TravelTech,Delhi,Maharashtra,2006,Series D,Equity,3110203,1,87168503,393062,No,111,AI,43137,25.45,Yes,95116,12,8.9,74.67,3.09,2018
Startup_8,Retail,Bangalore,Maharashtra,2008,Seed,Convertible Note,1859879,9,23181984,343903,No,173,Blockchain,56872,19.09,Yes,90686,20,9.8,44.77,6.37,2018
Startup_9,HealthTech,Bangalore,Tamil Nadu,2018,Series A,Debt,1384039,3,67588657,4104649,Yes,260,Big Data,32591,32.96,No,28830,17,6.5,22.37,8.01,2019
Startup_10,FoodTech,Pune,Delhi,2002,Series B,Grant,2532859,2,46024456,4890224,No,210,Cloud,18479,20.75,Yes,44632,6,8.93,55.11,3.71,2017
Startup_11,TravelTech,Mumbai,Tamil Nadu,2005,Series A,Equity,3817673,5,73166274,4920443,Yes,310,Blockchain,33129,36.7,No,55839,13,8.23,78.79,3.75,2023
Startup_12,FinTech,Mumbai,Telangana,2016,Series A,Debt,5964632,7,12508793,2088428,Yes,347,Cloud,16300,39.66,Yes,58064,3,8.49,46.45,6.02,2019
